window,i_start,i_end,depth,mean_soc,count
10-90%,1950,1952,0.06998777395083076,0.8650061130245849,1.0
10-90%,1981,1986,0.2482848044388076,0.5,1.0
10-90%,1991,1992,1.8947806286936006e-16,0.49011789653031057,1.0
10-90%,1989,1997,0.8,0.5,1.0
10-90%,1939,1962,0.8000000000000003,0.5000000000000001,0.5
10-90%,2002,2006,0.6643756921710915,0.43218784608554567,1.0
10-90%,2014,2015,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,2023,2026,0.2148566426244033,0.20742832131220165,1.0
10-90%,1962,2017,0.8000000000000003,0.5000000000000001,0.5
10-90%,2017,2034,0.8000000000000003,0.5000000000000001,0.5
10-90%,2034,2047,0.8000000000000003,0.5000000000000001,0.5
10-90%,2047,2056,0.8000000000000003,0.5000000000000001,0.5
10-90%,2063,2064,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,2065,2066,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,2068,2069,0.47696961539728866,0.33848480769864425,1.0
10-90%,2056,2071,0.8000000000000003,0.5000000000000001,0.5
10-90%,2085,2086,1.8947806286936006e-16,0.9,1.0
10-90%,2071,2087,0.8000000000000003,0.5000000000000001,0.5
10-90%,2105,2107,0.3973143807787375,0.7013428096106312,1.0
10-90%,2087,2095,0.8000000000000003,0.5000000000000001,0.5
10-90%,2095,2117,0.8000000000000003,0.5000000000000001,0.5
10-90%,2117,2119,0.8000000000000003,0.5000000000000001,0.5
10-90%,2119,2128,0.8000000000000003,0.5000000000000001,0.5
10-90%,2132,2133,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,2147,2153,0.5241424022194037,0.36207120110970187,1.0
10-90%,2135,2141,0.8,0.5,1.0
10-90%,2154,2157,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,2128,2158,0.8000000000000003,0.5000000000000001,0.5
10-90%,2158,2166,0.8000000000000003,0.5000000000000001,0.5
10-90%,2166,2168,0.8000000000000003,0.5000000000000001,0.5
10-90%,2187,2188,9.473903143468003e-17,0.8097708988412885,1.0
10-90%,2177,2182,0.8000000000000002,0.5000000000000001,1.0
10-90%,2191,2192,0.511051329843304,0.6444743350783481,1.0
10-90%,2168,2201,0.8000000000000003,0.5000000000000001,0.5
10-90%,2201,2214,0.8000000000000003,0.5000000000000001,0.5
10-90%,2244,2261,0.8,0.5,1.0
10-90%,2214,2223,0.8000000000000003,0.5000000000000001,0.5
10-90%,2278,2284,0.5444783534924024,0.3722391767462012,1.0
10-90%,2273,2291,0.8,0.5,1.0
10-90%,2223,2269,0.8000000000000003,0.5000000000000001,0.5
10-90%,2301,2309,0.8,0.5,1.0
10-90%,2269,2297,0.8000000000000003,0.5000000000000001,0.5
10-90%,2297,2314,0.8000000000000003,0.5000000000000001,0.5
10-90%,2314,2320,0.8000000000000003,0.5000000000000001,0.5
10-90%,2320,2322,0.8000000000000003,0.5000000000000001,0.5
10-90%,2397,2398,1.8947806286936006e-16,0.9,1.0
10-90%,2410,2417,0.8,0.5,1.0
10-90%,2322,2403,0.8000000000000003,0.5000000000000001,0.5
10-90%,2429,2435,0.7247851689405498,0.4623925844702749,1.0
10-90%,2403,2419,0.8000000000000003,0.5000000000000001,0.5
10-90%,2419,2440,0.8000000000000003,0.5000000000000001,0.5
