hour,price_eur_mwh,wind_mw,storage_p_mw_10_90,soc_10_90,storage_p_mw_20_80,soc_20_80,storage_p_mw_0_100,soc_0_100,storage_p_mw_20_100,soc_20_100,storage_p_mw_0_80,soc_0_80
84,189.24,88.03538120276899,-88.03538120276899,0.36915574901020554,-88.03538120276899,0.2763543627222726,-88.03538120276899,0.2691557490102055,-88.03538120276899,0.4691557490102055,-88.03538120276899,0.2691557490102055
85,187.97,76.64354813790618,-76.64354813790618,0.6490904284344617,-76.64354813790618,0.5562890421465287,-76.64354813790618,0.5490904284344618,-76.64354813790618,0.7490904284344617,-76.64354813790618,0.5490904284344618
86,204.12,74.90994483812011,-2.2638592102154007,0.892801386287933,0.0,0.8,-65.16094747654385,0.792801386287933,-2.2638592102154007,0.992801386287933,-2.2638592102154007,0.792801386287933
87,237.13,63.00983365285094,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
88,251.82,66.303363147259,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
89,290.0,91.15679730563353,78.94541539069859,0.9,21.709061543023967,0.8,136.1817692383732,1.0,78.94541539069861,1.0,78.94541539069856,0.8
90,298.21,98.74396969302525,150.0,0.6241424022194036,150.0,0.7241424022194036,150.0,0.5241424022194038,150.0,0.7241424022194036,150.0,0.5241424022194038
91,265.88,112.27483061559988,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
92,245.46,138.92379492344304,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
93,192.0,169.3154157086373,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
94,100.09,196.7693643447512,-150.0,0.09999999999999998,-150.0,0.19999999999999996,-150.0,0.0,-150.0,0.19999999999999996,-150.0,0.0
95,171.99,213.9218842562223,44.05460142398634,0.5769696153972886,101.29095527166103,0.6769696153972885,0.0,0.47696961539728866,44.05460142398637,0.6769696153972885,44.054601423986426,0.47696961539728866
96,167.89,267.5981757252295,0.0,0.42303038460271153,0.0,0.3230303846027113,0.0,0.47696961539728866,0.0,0.5230303846027113,0.0,0.3230303846027113
97,165.68,258.1217036944771,0.0,0.42303038460271153,0.0,0.3230303846027113,-14.485441331642273,0.47696961539728866,0.0,0.5230303846027113,0.0,0.3230303846027113
98,167.55,243.44008014726248,0.0,0.42303038460271153,0.0,0.3230303846027113,0.0,0.5230303846027113,0.0,0.5230303846027113,0.0,0.3230303846027113
99,143.34,270.2765712161972,-150.0,0.42303038460271136,-150.0,0.32303038460271133,-150.0,0.5230303846027113,-150.0,0.5230303846027113,-150.0,0.32303038460271133
100,199.18,263.35237126404115,34.12046430253102,0.9,-1.0845033452762633e-13,0.8,61.64762873595885,1.0,34.12046430253102,1.0,34.12046430253096,0.8
101,201.49,261.5428696430876,63.45713035691239,0.7807734525041998,40.341240811768884,0.8000000000000004,63.45713035691239,0.7845857585546973,63.45713035691239,0.8807734525041998,63.45713035691239,0.6807734525042001
102,204.18,193.6321792687448,131.3678207312552,0.5590363008827205,131.3678207312552,0.6590363008827205,131.3678207312552,0.5628486069332179,131.3678207312552,0.6590363008827205,131.3678207312552,0.4590363008827206
103,187.49,178.16439587737295,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.10381230605049732,0.0,0.19999999999999984,0.0,0.0
104,179.17,134.10966814596543,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.10381230605049727,0.0,0.19999999999999996,0.0,0.0
105,171.6,125.24066587511965,-125.24066587511965,0.09999999999999998,-125.24066587511965,0.19999999999999996,-125.24066587511965,0.10381230605049727,-125.24066587511965,0.19999999999999996,-125.24066587511965,0.0
106,174.66,93.29940953684604,-33.50240814846203,0.4982399482303743,1.3556291815953292e-13,0.5982399482303742,-63.75203753084462,0.5020522542808715,-33.50240814846233,0.5982399482303742,-33.50240814846212,0.39823994823037434
107,177.03,83.35169574579419,-1.3556291815953292e-13,0.6047708197600739,0.0,0.5982399482303737,0.0,0.7047708197600747,0.0,0.7047708197600747,0.0,0.5047708197600741
108,172.47,51.26527731378635,-51.26527731378635,0.6047708197600743,-51.26527731378635,0.5982399482303737,-51.26527731378635,0.7047708197600744,-51.26527731378635,0.7047708197600744,-51.26527731378635,0.5047708197600743
109,174.61,41.58000172794564,-41.58000172794564,0.7677840171173544,-12.18532161007955,0.7612531455876539,-41.58000172794564,0.8677840171173545,-41.58000172794564,0.8677840171173545,-41.58000172794564,0.6677840171173545
110,193.1,60.443647554711,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
111,216.84,31.46888454905917,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
112,241.2,19.06352883774498,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
113,286.99,32.33798482130509,150.0,0.9,150.0,0.8,150.0,1.0,150.0,1.0,150.0,0.8
114,280.0,10.262347673365612,78.94541539069856,0.3758575977805962,21.709061543023928,0.2758575977805962,136.1817692383732,0.4758575977805962,78.94541539069857,0.4758575977805962,78.94541539069856,0.2758575977805962
115,245.88,0.0,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
116,225.73,0.0,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
117,194.47,0.0,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
118,196.96,0.0,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
119,185.01,2.4768792423948187,-2.4768792423948187,0.09999999999999998,-2.4768792423948187,0.19999999999999996,-2.4768792423948187,0.0,-2.4768792423948187,0.19999999999999996,-2.4768792423948187,0.0
