cycle_idx,dod,sigma_bar,sg0_charge,sg1_discharge,sg2_boundary,eff_ratio,expected_A,pass_A,pass_B,c_ratio,pass_C
277,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
279,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
280,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
281,0.399554,0.299777,-1.31683e-05,1.45813e-05,0,1.1073,1.1073,True,True,0,False
282,0.528744,0.364372,-1.48056e-05,1.63943e-05,0,1.1073,1.1073,True,True,0,False
283,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
284,0.5,0.35,-1.44411e-05,1.59907e-05,0,1.1073,1.1073,True,True,0,False
285,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
286,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
287,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
288,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
289,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
290,0.339239,0.73038,-2.00138e-05,2.21614e-05,0,1.1073,1.1073,True,True,0,False
291,0.138358,0.399318,-1.20855e-05,1.33823e-05,0,1.1073,1.1073,True,True,0,False
292,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
293,0.10947,0.154735,-8.98743e-06,9.95182e-06,0,1.1073,1.1073,True,True,0,False
295,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
296,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
297,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
298,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
299,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
300,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
301,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
302,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
303,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
304,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
305,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
306,0.276314,0.761843,-1.99358e-05,2.2075e-05,0,1.1073,1.1073,True,True,0,False
307,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
308,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
309,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
310,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
311,0.140807,0.829596,-1.89656e-05,2.10007e-05,0,1.1073,1.1073,True,True,0,False
312,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
313,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
314,0.281024,0.470651,-1.47714e-05,1.63565e-05,0,1.1073,1.1073,True,True,0,False
315,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
316,0.26253,0.231265,-1.13768e-05,1.25976e-05,0,1.1073,1.1073,True,True,0,False
317,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
318,0.466572,0.436575,-1.56077e-05,1.72825e-05,0,1.1073,1.1073,True,True,0,False
319,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
320,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
321,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
322,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
323,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
325,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
326,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
327,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
328,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
329,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
330,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
331,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
332,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
333,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
334,0.496808,0.651596,-1.9739e-05,2.18571e-05,0,1.1073,1.1073,True,True,0,False
335,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
336,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
337,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
338,0.8,0.5,-1.83566e-05,2.03264e-05,0,1.1073,1.1073,True,True,0,False
339,0.254713,0.772643,-1.98701e-05,2.20023e-05,0,1.1073,1.1073,True,True,0,False
340,0.405173,0.697414,-1.99623e-05,2.21044e-05,0,1.1073,1.1073,True,True,0,False
