Hour [h],Power wind farm [W]
3230,4353188.920647472
3231,11068894.99132452
3232,6778140.037676976
3233,4348399.385321332
3234,6401177.302423174
3235,6778140.037676976
3236,12404148.413434682
3237,31661062.513300944
3238,32759714.21877188
3239,23057178.096620902
3240,18908791.924241412
3241,20656633.16394555
3242,27777510.602055535
3243,30787958.717800975
3244,42674840.03094974
3245,58712681.378569245
3246,46741332.39901759
3247,70533482.22854471
3248,16990471.48738887
3249,12517317.33999182
3250,14987571.905992491
3251,25451550.711541086
3252,37946378.87450539
3253,68841563.22296607
3254,60804053.505686454
3255,74543986.0641162
3256,93207002.9264683
3257,97157755.77011901
3258,93207002.9264683
3259,101850437.6146121
3260,108204280.69497557
3261,115814759.34548856
3262,119903742.86901532
3263,141676472.68847555
3264,157457133.6750403
3265,173000237.9905029
3266,153019855.1300812
3267,144705751.48392302
3268,132027856.67347552
3269,157457133.6750403
3270,135429263.7571008
3271,96989283.21251544
3272,44140941.76517134
3273,48048981.58608713
3274,59053231.50174411
3275,63214743.65348319
3276,68618820.66668081
3277,85775466.79618931
3278,105387366.03170136
3279,105329542.94169644
3280,71165140.82803269
3281,89153784.46479079
3282,104689441.32310306
3283,77820858.46489805
3284,115909138.75448869
3285,146558771.1418454
3286,206029846.11999604
3287,211079021.59684157
3288,197452494.82146853
3289,213667602.8915887
3290,236552800.8744288
3291,270145624.5882198
3292,256314350.0359814
3293,212249165.7537785
3294,261348337.56414795
3295,163934159.70475563
3296,110662265.4521395
3297,95319270.41199914
3298,86487185.97258864
3299,63854854.46530819
3300,46764151.47823973
3301,36698050.58107286
3302,54600656.81745043
3303,53341873.46074469
3304,25314406.339971364
3305,58103630.47126486
3306,19452005.237489317
3307,0.0
3308,0.0
3309,0.0
3310,0.0
3311,0.0
3312,0.0
3313,0.0
3314,24307950.84752693
3315,8788428.08160829
3316,6750034.320118908
3317,0.0
3318,0.0
3319,0.0
3320,0.0
3321,0.0
3322,0.0
3323,0.0
3324,0.0
3325,0.0
3326,0.0
3327,0.0
3328,0.0
3329,1948769.9080038804
3330,0.0
3331,0.0
3332,27951324.666158512
3333,25750195.444236066
3334,0.0
3335,16736993.571850736
3336,43106546.54369155
3337,41126273.8198549
3338,42759079.699093506
3339,34909059.1840391
3340,20420728.822456423
3341,18420905.458895918
3342,41740799.53589171
3343,28293635.180533204
3344,14465963.342442764
3345,8640121.88068422
3346,5557329.501983261
3347,10927722.498703513
3348,11520507.914613493
3349,7717106.087323202
3350,5967003.465482919
3351,0.0
3352,0.0
3353,0.0
3354,0.0
3355,0.0
3356,20798968.590746377
3357,9216033.244519496
3358,24152611.748049483
3359,46417430.374204606
3360,8640121.88068422
3361,68532146.47066349
3362,36353786.4240182
3363,35014171.43817551
3364,56133949.31608002
3365,256384522.2489803
3366,240217622.73441678
3367,107277525.01102181
3368,50694524.82982313
3369,34218089.991915345
3370,35305718.93195423
3371,49754372.36496964
3372,56453410.47275533
3373,107277525.01102181
3374,109499216.68119603
3375,79905838.74946517
3376,47476740.8711178
3377,27802749.41796937
3378,58723684.07386005
3379,70008416.0663767
3380,54749800.15075788
3381,57440989.578359514
3382,87203524.49669045
3383,82834194.21280625
3384,64138462.98845446
3385,43988242.27199989
3386,46417430.374204606
3387,44665142.46722838
3388,35431816.60645667
3389,24797058.90725113
3390,9280534.899172926
3391,13332589.231325254
3392,10735276.092939252
3393,23277019.46494449
3394,35163442.28757304
3395,31837216.109071884
3396,29788667.299053036
3397,33607161.99889663
3398,23211517.817881946
3399,31383420.362874933
3400,14963910.107596045
3401,16821743.475158803
3402,13639216.14361799
3403,10444466.65152154
3404,13707074.004642256
3405,20912089.022755664
3406,19028414.22320802
3407,21988455.645914994
3408,22737431.273567453
3409,35084576.04739607
3410,74914649.8691629
3411,82349380.68524614
3412,94010941.54113102
3413,90477671.93040599
3414,118357510.85513939
3415,63144868.940977834
3416,74914649.8691629
3417,78954261.09338239
3418,85867247.09592214
3419,167101671.79915416
3420,172473105.5773205
3421,214433239.08825213
3422,169069010.67933547
3423,123900884.42741804
3424,195621936.3703008
3425,205944475.91545847
3426,186657480.10825595
3427,171657275.85857904
3428,302308013.72882164
3429,310564312.2856717
3430,343412191.0495645
3431,331898201.8721325
3432,344280448.19368684
3433,344280493.86649936
3434,315121299.4187125
3435,344280496.0999549
3436,344280599.3546889
3437,324887025.6606437
3438,170207156.846292
3439,191295981.6662992
3440,234803196.31941006
3441,270431065.880568
3442,244955914.45383462
3443,181643095.70641202
3444,168759206.55240855
3445,72626985.384565
3446,60066281.86757475
3447,95996632.7511588
3448,35457734.88034258
3449,41715978.349597104
3450,64169477.64652192
3451,80935082.06992795
3452,162860726.15168035
3453,141800440.5917379
3454,178192627.94431826
3455,126021397.08707751
3456,148539282.60617596
3457,136493000.28562462
3458,157719712.69263256
3459,137492844.52148244
3460,117489842.90725107
